,item,originLabel,cultureLabel,ethnic_groupLabel,off_languageLabel,nameLabel,movementLabel,genreLabel,main_subjectLabel,memorializedLabel,sign_eventLabel,narrative_locLabel,countryLabel,taxonLabel,jurisdictionLabel,based_onLabel,part_ofLabel,native_labelLabel,cuisineLabel,areaLabel,used_byLabel,useLabel,political_ideoLabel,religionLabel,political_partyLabel,participant_inLabel,endemicLabel,indigenousLabel,country_sportLabel,subclass_ofLabel
50,Q288066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Championship
51,Q4672263,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
52,Q16001522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technological utopianism
53,Q4672374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy
54,Q83390,Ancient Rome,ليونان لقديمة,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting
55,Q419736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting
56,Q706884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delinquent
57,Q1863064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keyboardist
58,Q42292,,,,,,,,,,,,,maple,,,,,,,,,,,,,,,,tree
59,Q386510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animalia
60,Q236932,United States,,,,,,,,,,,,,,,,Acid rock,,,,,,,,,,,,psychedelic rock
61,Q196188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organism
62,Q423918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,electroacoustic music
63,Q288838,,,,,,,,,,,,New Zealand,,,,,,,,,,right-libertarianism,,,,,,,
64,Q188473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
65,Q4010939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode of transport
66,Q4677625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book
67,Q344394,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
68,Q4677709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor
69,Q21169216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor
70,Q289953,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,
71,Q4214,,,,,,medieval music,poésie courtoise,,,,,,,,,,,,,,,,,,,,,,
72,Q310285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Q352270,,,,,,,,,,,,Turkey,,,,,,,,,,,,,,,,,
74,Q31353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Q367540,,,,,,,,,,,,,,,,,,,,,,,Christianity,,,,,,
76,Q1306755,,,,,,,,,,,,,,,,administration,,,,,,,,,,,,,geographic location
77,Q13455645,,,,,,,,,,,,Ireland,,,,,,,,,,,,,,,,,city
78,Q515244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy
79,Q358832,,,,,,,,,,,,,,,,,,,,,,,Catholicism,,,,,,religious leader
80,Q3270129,,,,,,,,,,,,People's Republic of China,,,,,,,,,,,,,,,,,
81,Q289078,,,,,,,,,,,,Ecuador,,,,,Alianza PAÍS,,Ecuador,,,social democracy,,,,,,,
82,Q98756,,,,,,,,,,,,,,,,,,,,,,,,Nationalsozialistische Deutsche Arbeiterpartei,,,,,
83,Q183496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building material
84,Q78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Q5327,,,,,,,,,,,,,,,,,,,,,,,,Nationalsozialistische Deutsche Arbeiterpartei,,,,,
86,Q87827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Q16001865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,law
88,Q123621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Q373699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Q373765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Q80994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organism
92,Q3249257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animated film
93,Q379222,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
94,Q16001911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Q319221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
96,Q3773427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician
97,Q381276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Q193124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organism
99,Q376771,,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,
100,Q62447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architectural structure
101,Q365873,,,,,,,,,,,,,,,,aerodrome,,,,,,,,,,,,,geographic location
102,Q381564,,,,,,,,,,,,Estonia,,,,,,,,,,,,,,,,,
103,Q4688512,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
104,Q35986,,,,,,,,,,,,,,,,axiology,,,,,,,,,,,,,philosophy
105,Q291566,,,,,,,,,,construction,,Sweden,,,,,,,,,,,,,,,,,
106,Q4688848,,,,,,,,,,,,,,,,Reformation in Switzerland,,,,,,,,,,,,,
107,Q59059,,,,,,,,,,,,,,,,,Affogato al caffè,,,,,,,,,,,,drink
108,Q4384867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traditional costume
109,Q387407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dance
110,Q3070125,,,,,,,,,,,,Spain,,,,,Festival de Cine Africano,,,,,,,,,,,,
111,Q15276542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,textile
112,Q4689646,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,neighborhood
113,Q3070379,,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,
114,Q123050602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosophy
115,Q384559,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
116,Q388202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,religion
117,Q24910,Denmark,,,,,,drama film,mourning,,,,,,,,,,,,,,,,,17th European Film Awards,,,,
118,Q4726861,,,,,,,,,,,,Indonesia,,,,religion in Indonesia,aliran kepercayaan,,,,,,,,,,,,religion
119,Q392918,,,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,government agency
120,Q4692205,,,,,,,,,,1999 Aggie Bonfire collapse,,United States,,,,,,,,,,,,,,,,,bonfire
121,Q866298,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,building material
122,Q393786,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,
123,Q395389,,,,,,,,,,,,Poland,,,,,,,,,,,,,,,,,
124,Q174312,,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,
125,Q19890860,,,,,,,,agriculture,,,,,,,,,,,,,,,,,,,,,museum
126,Q4693967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosophy
127,Q2942535,,,,,,,,,,,,Italy,,,,,,,,,,,Catholicism,,,,,,
128,Q4694505,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,drink
129,Q2635155,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,folk dance
130,Q26111350,,,,,,,,,,,,,,,,Sunni Islam,,,,,,,,,,,,,Sunni Islam
131,Q310609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Q174401,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,
133,Q403021,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
134,Q5623,,,,,,medieval music,,,,,,,,,,,,,,,,,,,,,,,
135,Q406714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,composed musical work
136,Q4698311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothing
137,Q407916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabethan song
138,Q420953,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,sports equipment
139,Q4698342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kiss
140,Q2049775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Q644628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sport
142,Q1248784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organization
143,Q4405347,,,,,,,,,,,,,,,,,,,,airsoft gun,,,,,,,,,bullet
144,Q403150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Q1936626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church building
146,Q1408668,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
147,Q2078349,Azerbaijan,,,,,,,,,,,,,,,,աջափսանդալ,,,,,,,,,,,,dish
148,Q412873,Indian subcontinent,,,,,samana,,,,,,,,,,,,,,,,,,,,,,,
149,Q2828932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Q276186,,,,,,,,,,,,,,,,,,,,,,,,,Film Workers Pledge to End Complicity,,,,
151,Q123559,,,,Arabic,,,,,,Reconquista,,Spain,,,,,الأندلس,,,,,,,,,,,,
152,Q11826,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
153,Q31066,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
154,Q4705114,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrgyz people,,textile
155,Q16663,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
156,Q64780,,,,,,,,,,,,Russian Empire,,,,,Алаш партиясы,,,,,liberalism,,,,,,,
157,Q1991629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Q16002379,,,,,,,,,,,,Albania,,,,,,,,,,,,,,,,,trans man
159,Q16513,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
160,Q71951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Q122338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Q60045,,,,,,,,,,,,,,,,,,,,,,,,Nationalsozialistische Deutsche Arbeiterpartei,,,,,
163,Q5687778,,,,,,,,,,,,,,,,,,,,,,,Catholic Church,,,,,,
164,Q717441,,,,,,,,,,,,,,,,,,,,,,,,,1984 Summer Olympics,,,United States,
165,Q64246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Q428656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock music
167,Q527301,,,,,,,,,,,,Spain,,,,Batalyaws,,,,,,,,,,,,,
168,Q2647483,,,,,,,,alcohol,,,,,,,,,,,,,,,,,,,,,law
169,Q4713282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Q4713290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Q154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
172,Q4714042,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,drink
173,Q55215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Q263730,,,Jewish people,,,Surrealism,science fiction,,,,,,,,,,,,,,,,,,Documenta 6,,,,
175,Q34474,,,,,,,essay,,,rehabilitation,,,,,,,,,,,,Leninism,Russian Orthodox Church,,,,,,
176,Q98953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Q648952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Q435124,,,,,,,,,,nevozvrashchentsy,,,,,,,,,,,,,,,,,,,
179,Q71763,,,,,,,,,,,,,,,,,,,,,,,,Freie Demokratische Partei,,,,,
180,Q15001,,,,,,Romanticism,poetry,,,,,,,,,,,,,,,,,,,,,,
181,Q55221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Q55172,,,,,,,,,,,,,,,,,,,,,,,,,documenta x,,,,
183,Q87,,,,Arabic,,,,,,Siege of Alexandria,,Egypt,,,,Lower Egypt,الإسكندرية,,,,,,,,,,,,
184,Q88,,,,English,,,,,,,,United States,,,,Arlington–Alexandria–Reston metropolitan division,Alexandria,,,,,,,,,,,,
185,Q2356817,,,,,,,,,,,,,,,,Wicca,,,,,,,,,,,,,modern paganism
186,Q185777,,,,,,,,,,,,,,,,,,,,,,,Catholicism,French Popular Party,,,,,
187,Q78229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Q88690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Q63781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Q103424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Q645598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Q558496,,,,,,,,,,,,Pakistan,,,,,,,,,theatre building,,,,,,,,
193,Q2563471,Portugal,,,,,,,,,,,,,,,,alheira,Portuguese cuisine,,,,,,,,,,,dish
194,Q63556,,,,,,,,,,Transport De,,,,,,,,,,,,,Judaism,,,,,,
195,Q223898,,,,,,,,,,,,British Raj,,,,,آل اِنڈِیا مُسْلِم لِیگ,,,,,two-nation theory,,,,,,,
196,Q69119,,,,,,,,,,,,Pakistan,,,,,,,,,,,,,,,,,
197,Q4729659,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
198,Q1471388,United States,,,,English,,,,,,,,,,,,,,,,,,,,,,,,comics
199,Q946380,,,,,,,,,,,,Soviet Union,,,,,,,,,,,,,,,,,
200,Q4396,,,,,,,,,,,,Ukraine,,,,,Всеукраїнське об`єднання «Свобода»,,,,,anti-Sovietism,,,,,,,
201,Q2361914,,,,,Arabic,,,,,,,,,,,,اللّٰهُ أَبْهَى,,,,,,,,,,,,
202,Q39419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Q522831,Germany,,,,German,,,,,,,,,,,,,,,,,,,,,,,,
204,Q4733366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river
205,Q4652400,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
206,Q668041,Duchy of Saxe-Coburg and Gotha,,,,German,,,,,,,,,,,,,,,,,,,,,,,,
207,Q2839173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woman
208,Q975953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plant milk
209,Q16665,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
210,Q16548,,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,
211,Q2142568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports club
212,Q252833,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,European folk music
213,Q660559,,,,,,,,,,,,,,,,Winter Olympic Games,,,,,,,,,,,,,Olympic sports discipline event
214,Q2380231,,,,German,,,,,,,,Weimarer Republik,,,,,,,,,,,,,,,,,
215,Q47996,United Kingdom,,,,,,indie rock,,,,,,,,,,alt-J,,,,,,,,,,,,
216,Q1412422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician
217,Q2479824,,,,,,,,,,,,,,,,pre-Columbian era,,,,,,,,,,,,,city
218,Q4736532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model
219,Q663,,,,,,,,,,,,,,,,group 13,,,,,dye,,,,,,,,medication
220,Q4737473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,magazine
221,Q82840,,,,,,Neues Bauen,,,,,,,,,,,,,,,,,,,,,,,
222,Q9149255,,,,,,,,,,,,Poland,,,,,,,,,,,,,,,,,
223,Q686038,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
224,Q155931,,,,,,,,,,,,,تاجخروسیان,,,,,,,,,,,,,,,,Plantae
225,Q455620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
226,Q455632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television
227,Q16931065,,,,,,,,,,,,,,,,,,,,,,,Christianity,,,,,,Berber
228,Q457893,,,,,,,,,,,,United States,,,,,Amblin Entertainment,,,,,,,,,,,,
229,Q2407259,,,,,,,,,,,,,,,,,,,,,,,,,24 Hours of Le Mans,,,,
230,Q97003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Q463606,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
232,Q689770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Q55304,,,,German,,,,,,,,Germany,,,,,Amerikanische Besatzungszone,,,,,,,,,,,,
234,Q4745508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Q466592,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
236,Q466599,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
237,Q466649,,,,,,,heavy metal,,,,,United States,,,,,,,,,,,,,,,,,
238,Q121362839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Q2153495,,,,,,,,,,,,,,,,,,,,,military logistics,,,,,,,,warehouse
240,Q474024,,,,,,Italian Baroque painting,nude,Cupid,,,,Germany,,,,,,,,,,,,,,,,,
241,Q30595183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3153869
242,Q474627,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
243,Q2904171,,,,,,,,,,,,,,,,,,,,,,,Judaism,,,,,,
244,Q478185,,,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,
245,Q478612,,,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,
246,Q478614,,,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,
247,Q8493,,,,,,,,,,,,Uzbekistan,,,,,,,,,,,,,,,,,
248,Q2719772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Q1134678,United States,,,,,,drama film,,,,New York City,,,,,,,,,,,,,,,,,,
250,Q23915,,,,,,Italian Renaissance,portrait,,,,,France,,,,,,,,,,,,,,,,,
251,Q189790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organism
252,Q258137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television
253,Q183216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Q55603881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Q485501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animalia
256,Q42458,,,,,,Pre-Socratic philosophy,,,,,,,,,,,,,,,,,,,,,,,
257,Q404782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Q5959447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,religion
259,Q21028568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,religion
260,Q3395377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archaeological site
261,Q204100,,,,,,,,,,,,,,,,history of philosophy,,,,,,,,,,,,,philosophy
262,Q337547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,religion
263,Q12982033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poetry
264,Q7407,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,2005 Davis Cup,,,,
265,Q128964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Q518757,,,,,,Marcinelle school,,,,,,,,,,,,,,,,,,,,,,,
267,Q58040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Q63722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Q312529,,,,,,Surrealism,,,,,,,,,,,,,,,,,,,documenta 1,,,,
270,Q522576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Q675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Q62986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Q66717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Q132205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Q55208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Q853,,,,,,,,,,,,,,,,,,,,,,,Eastern Orthodoxy,,,,,,
277,Q53412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Q2625574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Q504642,,,,,,,public art,,Franco-Prussian War,foundation stone laying ceremony,,Germany,,,,,Friedensengel,,,,Q1741946,,,,,,,,
280,Q76789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Q3069983,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
282,Q5116158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artist
283,Q3503560,,Islamic culture,,,,,,human,,Ashura,,,,,,,,,,,transport,,sufism,,,,,,Animalia
284,Q4765076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,documentary film
285,Q202866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
286,Q25535862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musical profession
287,Q779815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film director
288,Q2850048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Q1107679,,,,,,,,,,,,,,,,film industry,,,,,,,,,,,,,film studio
290,Q71245939,,,,,,,,,,,,,,,,,,,Australia,,,,,,,,,,
291,Q43004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traditional religion
292,Q4765220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash animation
293,Q770328,,,,,,,,,,,,Japan,,,,,,,,,,,,,,,,,
294,Q123957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Q1933,,,Sámi people,,,,,,,,,,,,,,,,,,,,,,alpine skiing at the 2006 Winter Olympics – women's combined,,,,
296,Q64417,,,,,,,opera,,,,,,,,,,,,,,,,,,,,,,
297,Q556570,,,,,,,,,,,,Turkey,,,,,Ankaraspor,,,,,,,,,,,,
298,Q557064,,,,,,,,,,,,German Reich,,,,,,,,,,,,,,,,,
299,Q4766054,,,,,,,,,,,,,,,,,অংকীয়া নাট,,,,,,,,,,Assamese people,,
300,Q27167,,,,,,,,,,,,,,,,,,,,,,,atheism,,,,,,
301,Q24340,France,,,,,,drama film,,,,,,,,,,,,,,,,,,,,,,
302,Q215588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Q262789,,,Han Chinese people,,,,,,,,,,,,,,,,,,,,Catholicism,,,,,,
304,Q4768004,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,
305,Q106731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Q1408677,,,,,,,,animated film,,,,France,,,,,Festival international du film d'animation d'Annecy,,,,,,,,,,,,film festival
307,Q86078,,,,,,,,,,,,,,,,,,,,,,,,,"Medusa, Bijoux et tabous",,,,
308,Q62618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Q2869077,,,,,,,,,,,,Greece,,,,,,,,,,,,,,,,,
310,Q641922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Q65157816,,,,,,,,,,,,Ivory Coast,,,,,,,,,,,,,,,,,music festival
312,Q569036,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,
313,Q87449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Q111235034,,,,,,,,,,,,South Africa,,,,,,,,,materiel,,,,,,,,city
315,Q336144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
316,Q109871,United States,,,,,,heavy metal,,,,,,,,,Big Four of Thrash,,,,,,,,,,,,,
317,Q184719,Deutsches Kaiserreich,,,,,,,,,,,,,,,Western esotericism,,,,,,,,,,,,,esotericism
